checkpoint,residual_factor,precision,recall,f1,reward,residual_norm,delta_residual,delta_action,task_delta_action,qvel,qacc
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.012,0.7611979166666666,0.5607080853174603,0.5760367815055315,1133.117136001587,0.00033228580609071895,0.00013817020430195726,0.06909870713046501,0.06909870713046501,3.0100242141953264,5.67257235243514
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.014,0.7811631944444444,0.5827132936507936,0.6013144841269841,1156.3365176916122,0.0004489603973828101,0.00018781522096370887,0.06645849945432708,0.06645849945432708,2.8660329821231194,5.547536107553057
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.016,0.7876302083333333,0.5958209325396826,0.6183573082010582,1167.5432327985764,0.0005873064966029536,0.0002455878203733164,0.0656502000370176,0.0656502000370176,2.7920305984389633,5.433001696179225
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.018,0.8347656250000001,0.6591331845238094,0.6798547228234728,1208.6491907835007,0.0007449850404555036,0.0003122808041666758,0.06674737570522939,0.06674737570522939,2.868146037575073,5.535533858908384
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.02,0.8944444444444444,0.708048115079365,0.7437058456589707,1275.2644233703613,0.000919797613278206,0.0003915044689080105,0.058281532019641515,0.058281532019641515,2.4814937023264974,4.714883241288488
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.021,0.9073784722222222,0.7408358134920633,0.7699838789682539,1291.2755159139633,0.0010019427004408499,0.00043414381991624396,0.05878233742626326,0.05878233742626326,2.467565593291984,4.717541238390492
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.022,0.9376302083333332,0.7758370535714286,0.8072578463203465,1326.4436997175217,0.0011083428583636608,0.0004760197446813663,0.05597990318497446,0.05597990318497446,2.385361343610451,4.522391895342297
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.024,0.95546875,0.813405257936508,0.8426747008778258,1348.1956177949905,0.0013204866578841272,0.0005648182513150838,0.055181827526278954,0.055181827526278954,2.3210052935202596,4.359797113446282
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.026,0.994357638888889,0.8432353670634921,0.876089362026862,1381.8503569364548,0.001548179466832759,0.0006629301184659653,0.055500950879792905,0.055500950879792905,2.347335166120056,4.415686784394725
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.028,1.0,0.8683655753968255,0.8984479929792432,1392.7619166374207,0.0017944872345954839,0.0007693000793930574,0.05491045461397214,0.05491045461397214,2.313471231540942,4.357975170758449
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.03,1.0,0.8775421626984127,0.9066592261904761,1394.631639957428,0.002059451315593227,0.000882375761335652,0.055078524929201685,0.055078524929201685,2.324313720190442,4.389069827088425
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.032,0.9965277777777777,0.8744791666666666,0.9012056953463204,1392.9399800300598,0.0023430914100875575,0.0010065592326213846,0.055818325180636584,0.055818325180636584,2.344392790974078,4.471162946088628
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.035,0.988845486111111,0.8481956845238093,0.8784096545815295,1380.6307952404022,0.0028017357408316457,0.0012015222483701866,0.055722514650551336,0.055722514650551336,2.327504125300314,4.380868128460539
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.04,0.9148003472222221,0.7834573412698412,0.8107695256132756,1312.7051206827164,0.003649510324369961,0.0015704521215980094,0.05621192123121829,0.05621192123121829,2.3573197159556636,4.449753087486665
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.045,0.8256944444444444,0.7143725198412699,0.72280768999519,1221.8522058725357,0.004600390928923541,0.0019818646640980355,0.06351391911518105,0.06351391911518105,2.7384274034559475,5.233220057818765
/root/gpt/pianomime/PPO-Happy_8-42-1780755469.213116_best,0.05,0.7705729166666666,0.6640687003968253,0.6695075757575757,1174.522193312645,0.005671457069790146,0.0024436145879652336,0.06010350067498698,0.06010350067498698,2.623181014273183,4.9439154867009565
