method,num_clips,precision,recall,f1,baseline_f1,delta_f1,notes
01_smooth_diffusion_objective,5,0.700979,0.624846,0.625574,0.615026,0.010548,denoised action derivative matching
02_ac_recover100_teacher0005_seed0,5,0.705088,0.602741,0.609421,0.615026,-0.005605,A+C two-stage recovery is not stable on this five-clip subset
03_rp1m_pointmajor_linearq_seed3,5,0.681101,0.593440,0.595610,0.615026,-0.019416,RP1M low-level helps only Hope_1 and degrades the other four clips
04_goal_representation,5,0.706399,0.625367,0.623506,0.615026,0.008480,goal side-channel representation
05_official_reward_select_013,5,0.711697,0.613210,0.619582,0.615026,0.004556,seed-selection method improves 4 of 5 clips
